iter	Logloss
0	0.6908561707
1	0.6892419434
2	0.68741745
3	0.6855337524
4	0.6841493225
5	0.6820632935
6	0.6800602722
7	0.6788763428
8	0.6773583984
9	0.6757189941
10	0.674263916
11	0.6728676605
12	0.6716747284
13	0.6705034637
14	0.6689378357
15	0.6679447937
16	0.6665406036
17	0.6646644592
18	0.6636412048
19	0.6621914673
20	0.661448288
21	0.6608617401
22	0.6602136993
23	0.6592425537
24	0.657889328
25	0.6564246368
26	0.6557588196
27	0.6547050476
28	0.6535115051
29	0.6527468872
30	0.6516394806
31	0.6512356567
32	0.6504968262
33	0.6495846558
34	0.6485523987
35	0.6479098511
36	0.6468511963
37	0.6459016418
38	0.6453157043
39	0.6437001038
40	0.6427506256
41	0.6419662476
42	0.6409899902
43	0.6406417084
44	0.6402680206
45	0.6390543747
46	0.6385075378
47	0.6376012039
48	0.6372618866
49	0.6366166687
50	0.6358942413
51	0.6350445175
52	0.6342069626
53	0.6337874222
54	0.6333004761
55	0.6327901459
56	0.6318123245
57	0.6314746857
58	0.6307324982
59	0.6298265076
60	0.6290779495
61	0.6280641937
62	0.6276663208
63	0.6270025635
64	0.6265866089
65	0.626088295
66	0.6257170486
67	0.6252394485
68	0.6248435974
69	0.6245957565
70	0.6238915634
71	0.6233312225
72	0.6225471497
73	0.6221054459
74	0.6214212799
75	0.6207045746
76	0.6202700043
77	0.6198729706
78	0.6194095993
79	0.6186547089
80	0.61825634
81	0.6176152802
82	0.6169953537
83	0.6164026642
84	0.6159657288
85	0.6151541138
86	0.6147467041
87	0.6142671585
88	0.6137272644
89	0.613451004
90	0.6126679993
91	0.6118052673
92	0.6114675522
93	0.6108465958
94	0.6104444885
95	0.6101384735
96	0.6095333862
97	0.6086315155
98	0.6081292343
99	0.6078395081
100	0.6075511169
101	0.6066692734
102	0.6060005188
103	0.6056830978
104	0.605331192
105	0.6051527405
106	0.6047463226
107	0.6043884659
108	0.6041313934
109	0.603901825
110	0.6037203598
111	0.6030926132
112	0.602408371
113	0.601872406
114	0.6015710449
115	0.6011396027
116	0.6007310867
117	0.6000809479
118	0.5994148254
119	0.5989671326
120	0.5986407852
121	0.5984815979
122	0.5982467651
123	0.5979277802
124	0.5971231842
125	0.5968109894
126	0.5962708282
127	0.5959333801
128	0.5955321503
129	0.5950550461
130	0.5947132492
131	0.5943185806
132	0.5937681961
133	0.5934717178
134	0.5931884003
135	0.5927355957
136	0.592447052
137	0.5921099472
138	0.5915113068
139	0.5912877655
140	0.5908960724
141	0.5905783463
142	0.5900608063
143	0.5892988586
144	0.5890758133
145	0.5884728241
146	0.5882868958
147	0.5875595093
148	0.5873508453
149	0.5870322418
150	0.5866684341
151	0.5865003967
152	0.5862835693
153	0.586054039
154	0.585839386
155	0.5855092239
156	0.585125351
157	0.5848308563
158	0.584104538
159	0.5838733673
160	0.583419838
161	0.5831634521
162	0.5825055695
163	0.5822618103
164	0.5819590378
165	0.5816732788
166	0.5810713196
167	0.5808032608
168	0.5806382751
169	0.5802785492
170	0.5799180603
171	0.5794434357
172	0.5792977142
173	0.5789794159
174	0.5787332916
175	0.5782726669
176	0.5779850769
177	0.5777931976
178	0.577292099
179	0.5770322037
180	0.5768458939
181	0.5764755249
182	0.5761696625
183	0.5757902527
184	0.5754349899
185	0.5752186584
186	0.574841156
187	0.5746875763
188	0.5744554138
189	0.5743517685
190	0.5741230011
191	0.5739266205
192	0.5734158325
193	0.5728902435
