iter	Passed	Remaining
0	236	235925
1	250	124997
2	263	87726
3	277	69080
4	291	58040
5	307	50917
6	321	45628
7	336	41767
8	352	38776
9	368	36458
10	384	34556
11	400	32975
12	411	31210
13	429	30271
14	446	29323
15	462	28457
16	481	27814
17	499	27239
18	515	26634
19	531	26054
20	547	25529
21	562	24986
22	576	24492
23	590	24023
24	604	23562
25	618	23177
26	636	22930
27	652	22633
28	665	22269
29	680	22007
30	695	21736
31	710	21480
32	724	21225
33	738	20978
34	752	20735
35	766	20513
36	780	20307
37	795	20141
38	808	19927
39	823	19754
40	837	19599
41	852	19442
42	866	19273
43	880	19130
44	895	19000
45	909	18871
46	926	18778
47	941	18663
48	955	18547
49	969	18416
50	982	18288
51	997	18177
52	1011	18078
53	1027	18006
54	1043	17935
55	1056	17808
56	1069	17694
57	1078	17508
58	1093	17436
59	1107	17343
60	1119	17235
61	1134	17167
62	1147	17070
63	1161	16992
64	1178	16953
65	1198	16956
66	1220	16991
67	1237	16966
68	1255	16944
69	1271	16888
70	1286	16829
71	1302	16787
72	1322	16791
73	1338	16750
74	1354	16702
75	1371	16678
76	1386	16623
77	1404	16605
78	1419	16554
79	1435	16503
80	1453	16496
81	1470	16463
82	1484	16402
83	1500	16357
84	1516	16319
85	1535	16320
86	1553	16297
87	1573	16303
88	1590	16279
89	1607	16251
90	1623	16216
91	1636	16152
92	1650	16092
93	1662	16027
94	1674	15951
95	1687	15887
96	1701	15839
97	1714	15782
98	1727	15722
99	1740	15661
100	1754	15619
101	1768	15569
102	1781	15516
103	1794	15458
104	1808	15413
105	1820	15356
106	1834	15307
107	1847	15259
108	1861	15213
109	1874	15163
110	1886	15112
111	1903	15095
112	1918	15058
113	1932	15018
114	1949	15000
115	1962	14958
116	1976	14918
117	1989	14868
118	2002	14823
119	2015	14778
120	2030	14748
121	2043	14706
122	2056	14665
123	2069	14623
124	2082	14575
125	2094	14531
126	2107	14485
127	2122	14460
128	2135	14417
129	2147	14368
130	2161	14338
131	2173	14294
132	2186	14251
133	2198	14209
134	2211	14170
135	2225	14138
136	2239	14109
137	2253	14074
138	2265	14034
139	2277	13992
140	2291	13957
141	2307	13941
142	2321	13910
143	2337	13895
144	2350	13857
145	2362	13819
146	2374	13779
147	2392	13771
148	2405	13740
149	2425	13742
150	2438	13707
151	2450	13672
152	2463	13635
153	2470	13573
154	2484	13544
155	2496	13506
156	2509	13476
157	2522	13441
158	2535	13412
159	2548	13378
160	2560	13345
161	2572	13309
162	2585	13276
163	2597	13242
164	2610	13212
165	2624	13185
166	2638	13160
167	2653	13139
168	2665	13104
169	2677	13070
170	2697	13075
171	2717	13082
172	2733	13065
173	2745	13034
174	2759	13009
175	2772	12982
176	2785	12951
177	2797	12920
178	2810	12889
179	2822	12858
180	2835	12829
181	2847	12797
182	2859	12766
183	2872	12738
184	2885	12709
185	2899	12688
186	2913	12665
187	2925	12637
188	2938	12610
189	2951	12582
190	2965	12559
191	2980	12543
192	2992	12512
193	3006	12491
194	3022	12477
195	3037	12459
196	3051	12437
197	3064	12412
198	3078	12390
199	3083	12332
200	3095	12306
201	3107	12277
202	3119	12248
203	3133	12226
204	3145	12199
205	3158	12173
206	3171	12150
207	3184	12124
208	3196	12099
209	3208	12071
210	3221	12046
211	3236	12030
212	3250	12010
213	3263	11985
214	3276	11963
215	3289	11938
216	3300	11910
217	3313	11885
218	3331	11880
219	3350	11878
220	3370	11879
221	3386	11868
222	3398	11841
223	3411	11819
224	3424	11794
225	3437	11771
226	3450	11751
227	3463	11726
228	3476	11704
229	3489	11681
230	3501	11656
231	3513	11631
232	3527	11612
233	3542	11596
234	3557	11580
235	3570	11558
236	3584	11538
237	3595	11513
238	3608	11489
239	3621	11467
240	3633	11444
241	3646	11420
242	3658	11397
